Character Name,Dialogue
达罗克,臼齿事务所成员已登上WARP列车。
阿洛科,你确定监测装置已经在他们身上安装妥当了？
达罗克,嗯。
阿洛科,波诺，监测状况如何？
波诺,虽然有达罗克帮忙，但这并不轻松。
阿洛科,但愿能通过他们找到一些蛛丝马迹……
波诺,我再问一遍，你们铁了心要这么做？
阿洛科,你究竟要我重复多少遍，这可是一条能让我们立刻赚到2亿眼还不会被人追踪的路子。（注：眼-世界观中的货币单位）
达罗克,这是“拐杖事务所”提出的交易，他们可以信任。
波诺,你俩还真是深信不疑啊，这不是钱的问题，万一在揭秘奇点技术的途中被人揪住小辫子，那我们就玩完了，到时候天大的保险都救不了我们的小命。
阿洛科,因为W公司身后有R公司撑腰，所以我能理解你为何如此畏惧。但我们不会就此停手，不是吗？
波诺,既然踏出了第一步，那就没法回头了……
达罗克,WARP列车将于5分钟后出站。
波诺,我怎么也想不通，把那种奇怪的监测装置安装在人身上就能得知因果，这怎么可能？
达罗克,那是拐杖事务所，亲手交付的装置，他们说，它在都市中非常珍稀。
阿洛科,而且我们已经亲自验证过它的性能了。
波诺,就算都市里的技术已经多如繁星，也不可能存在如此便捷的技术。
达罗克,注意！列车即将出站。
阿洛科,好吧，现在只要倒数10秒即可。
波诺,9……8……目前因果记录装置仍在正常运行。
波诺,7……怎么回事……等等，好像有点不对劲……？
达罗克,目标已消失……无法继续观测……
波诺,他们在乘坐WARP列车的过程中失踪了？可列车都还没到站……
波诺,我就知道，肯定是那个装置出了问题，我告诉过你们都市里不可能存在如此便捷的技术。
达罗克,先别急着怪罪，装置未出故障，仍在正常运转。
达罗克,列车里一定有事发生。
波诺,难道说奇点技术出了故障……或者说，他们察觉到了什么，故意毁掉了那装置？
阿洛科,要破坏那个装置并不容易，何况他们也没那本事。
波诺,谁知道呢。
波诺,也许是W公司为了防止奇点技术泄密而发送了干扰电波。
波诺,拐杖事务所那帮蠢货连这个都没调查过吗？
波诺,真是鬼迷心窍了……为了那2亿眼，我们竟干出如此荒唐的事情。
达罗克,别发牢骚了。
阿洛科,……我想可能和这个有关。
阿洛科,这上面明目张胆地写着，“臼齿事务所之书”。
达罗克,不可能，距他们消失还不到一分钟。
阿洛科,如果是图书馆……
波诺,是的，我听说过，这段时间所有收尾人和帮派都在谈论这玩意。
波诺,那接下来的计划是什么？我们也要去那怪地方？
达罗克,我们别无选择。
波诺,就算能拿到2亿，我也不想拿命赌啊，况且我们谁都没法保证一定能成功……
阿洛科,等我们读过那些家伙的书，也许就能知道列车里究竟发生了什么。
波诺,唉……我只希望事态不要进一步恶化。
安吉拉,果然会有人想要调查奇点技术。
罗兰,那可不，奇点技术能带来惊人的财富。
罗兰,想当初，L公司为了保护奇点技术的秘密不也费了好一番功夫吗？
罗兰,在烟霾战争后闪亮登场的环保能源公司！
罗兰,说真的，我们能从那令人窒息的烟霾中解放出来可多亏了你们公司。
安吉拉,我不是告诉过你？当时我被困在公司内部，只能反复朗诵同样的剧本。
安吉拉,奇点技术的秘密一旦泄露，它就会被立刻盗用？
罗兰,怎么可能，那些家伙只会找出一些奇点技术如何运作的线索，然后把这类情报高价出售给另一片翼或者大帮派。
罗兰,接着，后者就会以奇点的秘密作为要挟，勒索一大笔钱财。
罗兰,奇点技术受专利保护，所以直接拿来使用是非常危险的，更何况所有专利都由首脑亲自管理。
安吉拉,到头来都是为了金钱。
罗兰,顺带一提，我也挺想知道那辆WARP列车上发生了什么。
安吉拉,先接待我们的来宾。
阿洛科,我无法对此处做出明确的观测。
达罗克,可以看到结果，但过程并不可见……
波诺,和最近四处横行的扭曲现象一模一样，烦死人了。
安吉拉,各位来宾，欢迎你们的到来。
阿洛科,你是怎么拿到“臼齿事务所之书”的？
阿洛科,他们一定还在WARP列车上吧？前前后后只过了几秒钟而已。
安吉拉,我是如何拿到的呢？
安吉拉,正如挖掘奇点技术的真相需要倾注许多心血那般，探寻图书馆的秘密也要付出巨大的代价。
波诺,傻了吧唧地问了很明显的问题。
达罗克,对此我毫无头绪……
阿洛科,如果真的跟奇点技术没什么两样，那这座图书馆和这里的馆藏足够我们赚上一笔了。
安吉拉,愿您找到想要的书。
安吉拉,L公司生产清洁环保的能源，W公司提供快速可靠的交通工具……
安吉拉,那你认为R公司的奇点技术会是什么？
罗兰,他们的奇点大概是高效生产杀人机器吧。
罗兰,利用过R公司的你不是应该更清楚吗？
安吉拉,我说过很多次了，这些细节方面的事务不在我的管辖范围内，何况当时的我也没兴趣了解。
安吉拉,不过，从我对他们的观察结果来看……考虑到兔子的数量和每个单位的战斗力，我认为你说得在理。
安吉拉,虽然不能称其为非常强大，但在某种程度上他们的确能干净利落地处理好设施内的事故。
安吉拉,那么它的原理又是什么？
罗兰,除非你是R公司的高层领导，否则想破脑袋都不会知道的，每片翼都把它们的奇点技术藏得严严实实。
罗兰,以扭曲现象和异想体为例，只能看见结果却看不见过程，其他的奇点技术也是如此。
安吉拉,所以每个人仅仅是消费结果，对过程一无所知。
罗兰,那样更利于身心健康嘛，除非在使用时出现事故，否则没有必要询问关于技术的问题。
罗兰,身为消费者只要老老实实给钱就行了，不要对不需要知道的东西感到好奇。
罗兰,L公司不也是如此吗？
安吉拉,……没错。我们需要的只是结果，在此过程中牺牲了多少人并不重要，只要能正确进行即可。
罗兰,如果你也这么认为，那么你和那些翼就没什么两样咯。
