Character Name,Dialogue
罗兰,Chesed！能帮我开下门吗~？我腾不出手来。
Chesed,来啦~我来搭把手。
罗兰,咻，我居然一次能搬这么多书……
罗兰,看来我越来越适应这份差事了。
Chesed,所有事情都会熟能生巧的~
Chesed,品尝咖啡也不例外。
罗兰,嗯……咖啡啊……
Chesed,这一款应当更合你的口味吧？
罗兰,唔……我就相信你再尝一口吧！
罗兰,噢~这款甜甜的很不错哟！
罗兰,该怎么说……对，这是我第一次品尝如此高档又美味的咖啡！
Chesed,是吧~？Gebura曾经也是从玛奇朵开始的。
罗兰,原来好喝的咖啡是这种味道。
罗兰,我活了三十多年才知道……
Chesed,听说后巷那边为了掩盖原材料的低劣品质，时常在咖啡里增添不少强力甜味剂。
罗兰,有些连加都不加。
罗兰,不过，我在必须保持清醒或者打发时间的时候也会来两口。
Chesed,我也是~
Chesed,在脑叶公司的时候，如果不来上一杯咖啡，我根本无法开始一天的工作。
Chesed,只有一杯温热的咖啡，才能给我凉咖啡一般寒冷的身躯暖机。
Chesed,我就那般毫无希望地工作着。
罗兰,一定很辛苦吧。
Chesed,没错~每时每刻都会有职员被异想体杀害，而我所有试图拯救他们性命的企划都是无用功。
Chesed,就像那样，渐渐冷却。
罗兰,那现在有没有稍微暖起来些？
Chesed,是的呢，现在就像罗兰你说的那样火热呢~
Chesed,我可以用它尝试许多事物。
Chesed,最重要的是，现在可以品尝各种各样的咖啡。
罗兰,不过你还是得听命于人吧？
Chesed,这一次是我自己的选择。
Chesed,而且我能靠自己的努力让其他司书受到最少的伤害。
Chesed,正因如此，我才能保持这么久的热情哟？
罗兰,思路相当清晰嘛。
Chesed,一切都变得更好了。
Chesed,或许这就是所谓慈悲吧。
罗兰,谁的？馆长大人的？
Chesed,虽然难以信服，但有时我却觉得或多或少有一些呢。
罗兰,我也不清楚。
罗兰,安吉拉的仇恨和目标都是显而易见的。
罗兰,我不觉得她前行的路上能留有慈悲。
罗兰,嗯，这次的玛奇朵非常棒，回味无穷。
Chesed,以后你每次过来我都会为你介绍一款新的咖啡~
Chesed,慢慢地深入了解吧。
罗兰,太棒了，我很期待。
