Character Name,Dialogue
Tiphereth,不是这本……这本也不是……
罗兰,要搭把手吗？
Tiphereth,谁需要你帮忙啦！
罗兰,我的天，光是看一眼这些书我的脑袋就开始疼了。你是要把这些书全读完吗？
Tiphereth,……大概是吧。
罗兰,……量子物理学？细胞生物学？哎哟……写的净是些看不懂的玩意儿。
Tiphereth,只凭书名很难了解到这些书讲了些什么。
Tiphereth,何况想找到一本能正常阅读的书更是难上加难。
罗兰,这样想来，图书馆中的藏书确实大都残缺不齐，有些甚至没有通顺的句子。
Tiphereth,书籍的完成度取决于读者，但也有一些书自打一开始就是不完整的。
罗兰,那么阅读之后书是否会消失也取决于书籍的完成度吗？
Tiphereth,我也不清楚，但书籍似乎会以“完成阅读”和“未完成阅读”这两种情况区分开来。
Tiphereth,在完成阅读并理解其内容以后，尽到作为一本书籍的功能的书就会消失得无影无踪。
罗兰,哦，我好像听说过那样的理论……根据光的观测法不同，可以将其视作波或粒子什么的。
罗兰,书的性质也会根据阅读的结果改变也是那一类的原理吗？
Tiphereth,人家怎么知道！别用你那一知半解的知识来胡乱对比啊。
Tiphereth,我想就是那样吧，反正就是跟奇点科技一样只要有成果就能把原理马马虎虎糊弄过去的东西。
罗兰,怎么还能自豪地说自己也不知道的。
Tiphereth,不知道的事情就是不知道啊，不过我一直有在好好地分类并阅读你送来的书籍的。
Tiphereth,即使是同一本书，每次阅读时其内容也会有所不同。所以熟悉整本书的全部内容是一个反复而重要的过程。
Tiphereth,我可不想永远当一个无知的小孩，那种感觉让我非常恼火。
罗兰,每次阅读的时候内容都会发生变化……这就是为什么每次我都会一口气搞来好几本同样的书！
Tiphereth,……虽然我也不太清楚，但你提到的那个关于光的性质……我并不讨厌。
Tiphereth,有些事物仅仅因为你的注视便会为你改变……还挺浪漫的。
Tiphereth,伊诺克……只要有你在身边，我就会拥有存在的意义吗？
罗兰,伊诺克？
Tiphereth,过去的Tiphereth有两位，也就是Malkuth和你聊到的“第二次人生”。
Tiphereth,而我们俩在第一次人生中也一直在一起。
罗兰,喔唷~你的小男友？听起来你们已经天长地久山盟海誓了嘛。
Tiphereth,……第一次也好，第二次也罢，伊诺克他，都留下我一人独自离去了。
罗兰,被甩了两次耶，也太惨了吧。但是不要灰心，人呢在分手以后往往会过上更好的生活！
Tiphereth,……伊诺克死了。
Tiphereth,他对我来说……绝不是那种轻浮的词语能够指代的存在。
罗兰,哈……这……真的，真的抱歉……
罗兰,……是我太过分了……
Tiphereth,没关系，但第二次送别伊诺克的时候……
Tiphereth,我相信伊诺克可以找到他所探寻的“意义”。
Tiphereth,我们的生命和牺牲没有白费……
Tiphereth,人类总是会轻易逝去的存在，但他相信大家并不是为了走向毫无价值的终结而诞生于世的。
罗兰,那对我来说还蛮难理解的。那么你呢？你找到其中的意义了吗？
Tiphereth,也许吧？而现在我被赋予的意义则是获得完整的光，好让它能物尽其用。
罗兰,每个司书都提到了这个什么“光”，那到底是什么玄乎的玩意儿？
Tiphereth,脑叶公司的奇点科技你已经有所耳闻了吧？
罗兰,哦，知道个大概。能让心灵具象化的技术之类的吧。
Tiphereth,正是。这些物理上具象化的表现也有可能再次分解成不稳定的状态进入人们的心中。
罗兰,喔，也有这种可能。
Tiphereth,脑叶公司为了治愈都市人的心病而持之以恒地收集着光芒。
Tiphereth,当然，表面上是打着能源公司的幌子。
罗兰,那你们是怎么弄到那么多足以让公司成为翼的能源的呢？从人的身上一点点榨出来？
Tiphereth,因为奇点科技的副作用，产生了名为“异想体”的怪物。
Tiphereth,在管理异想体的过程中，异想体会释放出某种形式的能量，那便是脑啡肽。
罗兰,啥？！脑啡肽电池竟然是从那些怪物身上提取出来的？
罗兰,妈的，以前还拿脑啡肽打火机点烟来着……
Tiphereth,严格的说，不是怪物，而是人。异想体都转变自人类。
罗兰,难道说是诞生于人类内心的怪物吗。
罗兰,想必在管理这些怪物的过程中，职员们会出现大量伤亡吧？
Tiphereth,没错。在脑叶公司时，安吉拉将其称为完成舞台剧的必要条件。
罗兰,跟都市的作风如出一辙，一家通过杀害人类来治愈人类的公司……放在翼中也只是陈词滥调的奇谈怪论吧。
Tiphereth,我不太了解其它的翼……但脑叶公司的暴行与其他翼无异，果真是这样吧？
罗兰,果真是这样。
Tiphereth,那就是我们想要斩断的恶性循环。
罗兰,所以能够帮助你们斩断循环的就是所谓的“光”咯。
罗兰,感觉更像是你们想用那个给全人类洗脑？
Tiphereth,才不是那种没意思的用法！
罗兰,那还是得看你的观点啦。
Tiphereth,这件事我也只了解个大概。
Tiphereth,所以我想亲眼看看，外面的世界是否真的也重复着这种循环。
Tiphereth,我与安吉拉并没有什么两样，都对这个广阔的世界知之甚少。
罗兰,就包在我身上吧。今后我也会努力为Tiphereth小姐带来更多合适的书的。
Tiphereth,哼！还是用行动来证明你的诚意吧！
