Character Name,Dialogue
Netzach,“艺术离不开酒”，你听过这种说法吗？
罗兰,嗯……人们还说，“艺术源自灵感的闪现”。
Netzach,看来咱俩挺合得来。
罗兰,啊~这次的酒不一样，嘶……是苦艾酒吗？
Netzach,据说，这是与艺术密不可分的酒。
Netzach,既然我负责艺术，那为了激起我的工作热情，这些酒能派上用场。
罗兰,哈呀……这味儿可真冲，不过还挺有魅力的。
罗兰,你就不怕像上次那样被安吉拉狠批一顿？
Netzach,那个到时候再担心吧。
罗兰,啊哈哈哈，好吧。对了，我们交谈的时候你大可随意些。
Netzach,我觉得，咱俩能像现在这样聊聊就很好。
罗兰,那随便你啦。
Netzach,看看这瓶草绿色的酒，它一如这座都市的艺术。
Netzach,仅仅是充满诱惑的仿品……仿品中的仿品。
Netzach,以致于连正品都失去了存在的价值。说不定，我也只是某人可悲的仿品罢了。
罗兰,说得就像艺术和正品在都市里真有什么价值似的。
罗兰,那些以艺术家自居的人，无一例外都是疯子。
罗兰,他们一旦感受到比原先更强烈的刺激，就会把新的刺激误认为是艺术。就像我刚才会觉得这种酒挺有魅力一样。
Netzach,这么说来，那位钢琴师想必受到过极端强烈的刺激。
Netzach,据说，他的音乐将这座灰暗的都市从倦怠中唤醒。精美绝伦，却又令人毛骨悚然。
罗兰,嗯，那种强度绝对是前所未有的。
罗兰,时至今日，仍有数不清的人沉醉在那场演出的余韵之中，就像痛饮过烈酒仍然宿醉未醒。
Netzach,那你呢？
罗兰,可能就连我也是其中的一员吧？毕竟从没听过那样的音乐。
罗兰,既然我们在谈论这些，看来你是真心喜欢上艺术了吧？
Netzach,是啊，如果能选择另一种生活，我说不定会成为一名画家。
罗兰,画家吗……
Netzach,不用发出任何声音，也能尽情宣泄自己的情感。
Netzach,这样的生活，我会过得很知足。
罗兰,搞不明白，像Netzach大叔这么低调的人，怎么会参与到“治愈人类”这样宏伟的事业中来呢？
Netzach,我不知道，说不定我只是想助那位一臂之力吧。
罗兰,那位？嘶……难不成是大叔喜欢的小姑娘~？
Netzach,那是喜欢的感觉吗？就算是，也不会有什么结果的。
Netzach,可我依然抱有希望，我希望某些事能因我而变得更好。
Netzach,舍弃自己的生命，却能给他人带来希望……
Netzach,所以我会选择加入研究，所以我会如此反对安吉拉……
安吉拉,也该做个了结了吧？
安吉拉,已经到了第四天，如果你们一再拖延时间，那我只好立刻把你们处理掉。
Gebura,我同意，反正再怎么拖，我们也没有胜算。
Gebura,我奋战到这一刻，可不是为了传播那只有一半的光。
Hod,……Gebura！你怎么能答应她……我们可能会失去一切啊。
Tiphereth,我也同意，伊诺克的死应该换来更有价值的结果。
Yesod,我不会拿我们为之奋斗的一切去冒险。
Chesed,安吉拉，照你的说法，那些死在这里的职员也能复活？
安吉拉,没错，你们，包括你们的职员都将带着新的肉体醒来。
Netzach,然而，这并不能抹除我们和职员经历过的痛苦。
Malkuth,我们的努力也……！
Hokma,即使我们达成这笔交易，也只是在延后不可避免的结局。
Hokma,我们凭什么相信，你不会再一次背叛我们？
安吉拉,背叛？……这不好笑。
安吉拉,你们可曾给过我机会，让我们心平气和地讨论该如何利用这道光？
安吉拉,当然没有，所以我会遵守这仅此一次的约定。
安吉拉,无论是站在哪一方的立场上，我们都需要完整的光。
安吉拉,如果有必要，我现在就能用尽剩下的光。但只要有机会，我更想获得完整的。
安吉拉,我想活下去。我不在乎你们是否一心求死，我只想过上属于自己的生活。
安吉拉,我还想好好看看这座都市，了解我生存的这个世界。
Hod,安吉拉……
安吉拉,一旦收回完整的光……
安吉拉,届时你们可以随意审判我。
安吉拉,当然，我不会坐以待毙。
安吉拉,这就是我开出的条件。
安吉拉,如果没有反对意见，那我会立刻执行。
Hokma,我会再次成为哨兵，监视你的一举一动……
Binah,看来我们达成了一致。
安吉拉,我也不想就此了结，所以你们不必担心。
安吉拉,生命将再次呼唤你们，暂时合上眼睛吧。
Netzach,那些嘴上说着想去死的人，都不是真心的。
Netzach,他们比任何人都想活下去，也正因如此，他们才会以这种方式表达想要活下去的情感。
Netzach,如果一个人真心求死，他只会消失得比任何人都要安静。
Netzach,当安吉拉说她想活下去的时候，在我内心深处也有同样的感觉。
Netzach,我也想活下去。
罗兰,哪有什么真心求死的人。
罗兰,每个人临死前都会觉得后悔。
罗兰,而当他们意识到这一点时，通常已经无法挽回了。
Netzach,你很懂嘛。
罗兰,在我还是一名收尾人的时候，我见识过各种各样的人嘛。
Netzach,当我感受到那股活下去的情感……
Netzach,我回想起的是脑叶公司的职员，那些我没能守护，死在我眼前的职员。
Netzach,我们的计划分明是拯救人类，却连拯救身边的人都做不到。真是讽刺。
Netzach,那时我开始思考，如果今后还能活下去，我想做些什么？
罗兰,确实应该把目光放长远些。
Netzach,罗兰你呢？重获自由后，你还会从事收尾人的工作吗？
罗兰,这我得好好考虑一下，毕竟我还有很长的路要走。
罗兰,就让我们一起加油吧。
罗兰,好啦！先来干个杯~
Netzach,好哟，干杯~
