Character Name,Dialogue
Netzach,……
Hokma,一人独酌，是在烦恼些什么呢？
Netzach,……
Hokma,……似乎并不想谈呢。
Netzach,这会儿可没心情以礼相待……
Hokma,是因为独处的时光被打扰而生气，还是依旧被过去束缚呢。
Netzach,都是吧。都不咋地。
Netzach,无论那时还是现在，只有我还是不开窍啊。
Netzach,不过……有时候能和谁走上两杯也挺不错。
Hokma,前提只要不是和我？
Netzach,倒也不是不行。
Netzach,……虽然看起来不会，姑且礼节性问一下。来一杯吗？
Hokma,明知故问。如你所料，我并不感兴趣。
Netzach,那你来这鸟不拉屎的地儿干甚么呢。
Hokma,……我正在四处拜访。
Netzach,和以前不一样啊。
Hokma,大家都在变化，我也会随之改变吧。
Hokma,是吗。话说到这……各位指定司书也都如此归拢了自己的思绪吧。
Hokma,你呢？
Netzach,还不知道呢。明确想法也挺令人害怕的。
Netzach,要是我选择的不是真正的解答……也不知道该怎么办才好啊。
Hokma,怎可能只选择正确的道路前行呢。相信自己踏上的道路是正确的吧。
Hokma,真实正是如此。信赖也是一样的。
Hokma,你选择的道路，你身处的场所……亲身所见的、触及的、听闻的一切皆是通往真实的道路。
Hokma,你要相信自己必将走向真实。
Netzach,……虽然不太明白，还是谢谢你能安慰两句。
Netzach,不过完全绕不懂说了些啥，只觉得也忒高深了。老生常谈了。
Netzach,那你打定主意了吗？
Hokma,这个嘛。待各位的想法都决定的那一天再发表也不迟。
Hokma,总而言之，不浪费你的时间了。虽说仓促，仍是不失为一次令人愉快的拜访。
