Character Name,Dialogue
美里奈,各位预先看过报告了吧？
美里奈,即日起，하나协会正式接管图书馆的相关事宜。
哈罗德,图书馆成为都市之星……终有一日需要하나处理。
哈罗德,果真如美里奈科长所言。
美里奈,哈罗德，如果连这种程度都无法预测，在这种地方可活不了多久。
美里奈,……奥利维耶的心情想必很复杂吧。
奥利维耶,谁能想到，那失踪的老友竟在图书馆中。
美里奈,但不会因此妨碍工作，对不对？
奥利维耶,一码，归一码。
奥利维耶,那小子总是这么说。
美里奈,很好。我们的目的只有一个。
美里奈,明确分析扭曲与图书馆的关联，在此过程中允许发生一切冲突。
美里奈,如今的图书馆已是照耀都市的都市之星。
哈罗德,图书馆与扭曲之间的关联仍有许多模棱两可的地方……하나协会至少要探明二者的因果关系。
美里奈,图书馆正以吞噬一切进入之物的气势成长壮大。
美里奈,长此以往必将吞噬整座都市……必须尽快掌握图书馆的行动原理。
美里奈,先梳理一下现状。
奥利维耶,六协会南方分部在图书馆失去了主力收尾人，似乎陷入了巨大的动荡。短期之内在协会总会中应该没有多少话语权。
美里奈,那么六协南部为避免拇指的打击报复，状态应该非常消极？
奥利维耶,不。拇指也是如此。他们失去了一批得力指挥官，包括驻守L巢的二老板在内，因此很有可能被撵出了战场。
哈罗德,到头来，留在L巢里的是……
奥利维耶,只有那些家伙了。
美里奈,L巢的浓雾消散后，图书馆现出了它的真面目。
美里奈,前方是苍蓝残响……不，准确地说，由于残响乐团在周围布阵，因此无法接近。
奥利维耶,并且以此处为起点产生了大量扭曲。不知他们在里面搞什么鬼……
美里奈,苍蓝残响……从他近期的行动来看，已经不是什么收尾人了……至少是等同于都市之星的危险组织。
奥利维耶,……自从失去妹妹后就发了疯。
美里奈,并非不能理解。那一天钢琴师在都市留下了不可磨灭的扭曲。
哈罗德,那么人员方面该如何分配？
美里奈,首先，我们3科会将人力集中投入到图书馆。
美里奈,尽可能从图书馆中回收书籍。捕获巢内的扭曲。
美里奈,并且通过协会公文向1阶事务所下达追击苍蓝残响的委托。
奥利维耶,看来1科和2科还有别的事要做？
哈罗德,据说1科负责苍蓝残响，2科负责8大主厨。
美里奈,是的。之后……
美里奈,据称追击苍蓝残响的1科全军覆没，特色中应该也派遣了“朱红十字”……
奥利维耶,怎么可能。全部阵亡？
哈罗德,苍蓝残响的实力无法估量……
美里奈,而根据2科发来的报告，8大主厨已经解体。
美里奈,确切地说，现场发现7名主厨被制成料理。
美里奈,尸体损毁严重，已经无法辨认。
奥利维耶,剩下的1人呢？
美里奈,下落不明。
哈罗德,背叛了同伴……把他们做成料理吗……
美里奈,也许并不是。从表面上看确实是8大主厨会采取的手段，但他们的烹饪方法是套餐而非自助餐。
美里奈,由此看来是外部原因造成此次解体，协会总部正在考虑正式公布一星陨落的消息。
哈罗德,关键在于究竟是谁导致8大主厨解体。
奥利维耶,莫非背后……
美里奈,是的。据2科推测，背后可能是残响乐团。
奥利维耶,也许苍蓝残响的勾当已经超出了协会的预想……
美里奈,史无前例的事件正在都市南部同时发生。
美里奈,当然也存在更加严重的事件，但就发生频率与难解程度而言，现状无疑十分荒谬。
美里奈,包括하나协会在内的所有协会都进入了紧急状态。
美里奈,据Seven协会透露，Tres协会和Cinq协会南方分部也因扭曲折损了主力人员。
奥利维耶,如果在那片区域……是血红之夜和狼之时刻吧。
哈罗德,都是危险程度激增的事件。更不用说傀儡师。
哈罗德,再加上昨日之约能够轻易实现空间移动，令W公司的奇点相形见绌。
美里奈,这些都不是个人应该拥有的力量。
美里奈,扭曲的种种行为无不否定着如今的都市。都市的空气正在改变。
奥利维耶,尽管如此，首脑依然无动于衷？
美里奈,安静得可怕。也有可能是高层特意不传达首脑的动向。
哈罗德,美里奈科长……那我们能视情况从图书馆中撤出吗？
美里奈,不能。倒不如说命令是直接进入图书馆。
美里奈,为掌控局势，我们需要明确了解图书馆的力量与意图。
美里奈,4科仍打算帮助我们对L巢采取隔离措施。不得让残响乐团催生的扭曲脱离这片区域。
奥利维耶,难道他们觉得只靠我们3科就能顺利摆平图书馆？
美里奈,如若不然，我们就到此为止。这也意味着对此束手无策。
美里奈,届时，图书馆就会像其他星一样，作为都市中最自由的存在铭刻于天空。
美里奈,还有人被困在办公室彻夜工作。
美里奈,总之，各位都做好准备。
奥利维耶,……科长。会议结束后能谈谈吗？
安吉拉,成为都市中最自由的存在……难以置信。
罗兰,嗯。变得如此接近了。
安吉拉,没错。就快达到了……所以更是不敢相信。
安吉拉,就连하나协会都来到了这里……一路上发生了很多事啊。
安吉拉,你说过하나协会是收尾人协会中规模最大的协会，对吗？
罗兰,没错。就像以前说的那样，하나协会既能批准事务所成立，又能评定收尾人的等级。
罗兰,实时调整事件的危险等级并告知所有人。
罗兰,而且，都市之星也会由하나协会亲自处理。就像现在这样。
罗兰,形成长期交往的关系，只要我们身处都市之星的位置，他们就会一直找上门来。
安吉拉,……奇怪。
罗兰,怎么了？
安吉拉,没什么。贵客前来，请好好准备吧。
安吉拉,各位来宾，欢迎你们的到来。
美里奈,你知道么？此刻在L巢内随处都能看见图书馆。
安吉拉,您的意思是？
哈罗德,保护图书馆的雾气几近消散。
哈罗德,意思是图书馆很快就会彻底崩塌。
美里奈,所以你最好制定万全的对策。
美里奈,来，握手。我是하나协会南部3科科长，美里奈。
安吉拉,这是我第一次和来宾握手。
美里奈,如果是都市之星，那么今后会经常同하나协会见面。
美里奈,请不要成为被我们轻易击败的陨落之星。
美里奈,各位先来握手。
哈罗德,하나协会南部3科收尾人，哈罗德。
奥利维耶,하나协会南部3科收尾人，奥利维耶。
安吉拉,我也希望能经常和各位见面。
美里奈,奥利维耶。既然已经和图书馆的主人打过照面了，你现在回去吧。
美里奈,2科的人在找你。
奥利维耶,明白。
安吉拉,……你们有什么企图？
美里奈,奥利维耶是专程前来和你握手的，不必太过敏感。
奥利维耶,我先行告退。
安吉拉,……
美里奈,你不会以为我们是抱着悠哉观光的心态来到这里的吧？
美里奈,不必担心。我们并非轻视你们，不作任何对策便前来拜访。
美里奈,都市之星，하나协会的收尾人……都应以符合其身份的礼节对待。
美里奈,请你觉悟。都市之星，将于今日陨落。
安吉拉,……好，愿您找到想要的书。
罗兰,本以为会见面的……没想到是这样。
安吉拉,有你认识的人？
罗兰,我还以为会见到那位朋友。没碰上可真是太好了。
罗兰,话说回来，外界的情况似乎比想象中的还要糟糕。连하나协会都在大动干戈。
安吉拉,都市要被毁灭了吗？
罗兰,不会，不用担心。都市无论如何都会运作下去。
罗兰,只要首脑还在，都市的本质就不会改变。
安吉拉,首脑究竟是做什么的？
罗兰,本身就蒙着一层面纱，谁也不知道。
罗兰,首脑直接管理的A公司表面上从事着专利管理、造币、赋予翼的权限等业务。
罗兰,他们掌握着使都市呼吸的所有关键因素。
罗兰,然后想方设法地揪出意图破坏都市之人，将其筛除。
安吉拉,首脑也是翼中的一员。
罗兰,首脑、眼线、爪牙分别直接管理，运营着A公司、B公司及C公司。
安吉拉,通过调律者和爪牙？
罗兰,你还知道这些。
安吉拉,殷红迷雾曾经守护的研究所就是被首脑摧毁的。
安吉拉,卡莉为了守护同伴，在打倒调律者和爪牙后战死。
安吉拉,为了守护身后的他们，竭尽全力奋战至最后一刻的模样，应该再也看不到了吧。
罗兰,我明白那种感觉。
罗兰,总之……如果被首脑判定为都市的杂质，他们就会派出调律者，凝视者和处刑者等人，想尽办法将其筛除。
安吉拉,难道那一天的研究是都市的杂质？
罗兰,但这真的很奇怪啊。之前从Hod那里也听说过……
罗兰,调律者亲自前往郊区的研究所，甚至不在都市内部？这部分我至今无法理解。
安吉拉,你可能听很多司书讲起过，他们所言不假。我也不明白其中的缘由……
安吉拉,首脑现在默不作声，难道是觉得都市的现状依然无碍吗？
