Character Name,Dialogue
塔尼娅,果然……你跟老娘散发着相同的气味？
Gebura,开什么玩笑，痴迷于杀戮的疯狼怎么可能会与将要捕杀她的猎人有着相同的气味。
塔尼娅,带着一群乌合之众就来拦我了？……老娘还真是被看扁了啊。
塔尼娅,不过，你好歹也是曾被称作殷红迷雾的家伙……跟你这货打起来应该不会太无聊吧。
Gebura,啧，每个来到我这儿的家伙怎么都这么喜欢念叨她的名字啊。你们就不会觉得厌倦吗？
塔尼娅,怎么可能会烦。人们要是听说你竟在这种地方摸爬滚打的话，怕是下巴都要惊掉喽。
塔尼娅,你那怪物般的力量没有退化吧？依旧如前吧？
塔尼娅,你的各种事迹我也不过是道听途说而已，并未亲眼见过你的身手。正因如此，我对你究竟有多强相当好奇呢……
Gebura,你所重视的价值就只有力量吗？
塔尼娅,当然。老娘我没有向比我弱的菜逼们低头的理由。
Gebura,那弱者们又该如何生存下去？
塔尼娅,弱者就只好自寻生路，摸爬滚打喽。
塔尼娅,虽然最后无非也就只有两种选择……依附强者，或是被强者杀死。只要他们够顺从，会有人愿意护着他们的。
Gebura,利用力量争夺胜利的战斗是永无止境的。血腥残酷的争斗只会反复上演，永不落幕……
Gebura,这个世界啊，连胜者都不能安居高位。只要有顾着自身利益的必要，便会有随时失去一切的可能啊。
Gebura,为了夺取某物而行使力量真的正确吗？
塔尼娅,哎呦，为什么要把那看做是夺取呢？
塔尼娅,物竞天择适者生存，适应了这种环境的家伙才能够生存下来啊。
塔尼娅,而那些无法适应的便会被吞噬或是过滤掉，最后彻底消失。
塔尼娅,那些能够位居食物链顶端的强者们才是最适合在这个世界上生存的生命体，不是吗？
塔尼娅,人类也是这样活过来的，这并不是什么新鲜事儿。
塔尼娅,力量这东西可谓是在诸多能够展示自我的方式中最确切、最纯粹的。
塔尼娅,只需要证明“我比你强”便足矣。没有任何修饰和虚伪，就是那么纯粹。
塔尼娅,我想要一个力量便是一切的世界。所以我才会帮助我们的团长大人。
塔尼娅,哦，当然你们也有自己想要表达的意志与道义。像是为了它人创造一个和平的世界之类的……但老娘不怎么感兴趣就是了。
塔尼娅,在你们看来，那些无奈惨死的人们令人揪心且值得怜悯，所以你们会想为他们做些什么，但事实上都市中的人们过得并不赖。
塔尼娅,并非每一个都市人都会为强塞给他们的礼物感激涕零，连声道谢吧？
塔尼娅,更不要提为了执行计划，有多少无辜者们的日常生活将会被你们破坏……
Gebura,那样的行为的确不能用类似于“为它人着想”这样的话来包装粉饰。我很清楚这点。我也无法为那种行为感到坦然。
Gebura,为此我也相当苦恼，虽然你并无知晓这些的必要。
Gebura,我们只需要各司其职，做符合自己位置的事儿就够了。
塔尼娅,是啊。你我都不过是在为了自己的欲望与满足感而行事。
塔尼娅,仅此而已。也别再摆出那副“我的行为是为了追求更多的价值”的说辞了，这跟为自己的行为找借口没啥两样。
Gebura,一切都只是因为人们各自有着想要守护或是抢夺的事物。
塔尼娅,懂了就别废话了，动手吧。
