Character Name,Dialogue
罗兰,新鲜出炉的书来喽~
Tiphereth,随着心灵的放大，人类将获得力量，乃至身体出现异变……
Tiphereth,这便是扭曲现象。
Tiphereth,跟脑叶公司过去制造异想体的方式如出一辙。
罗兰,意思是扭曲就是异想体？
Tiphereth,虽然过程相似，但它们的本质并不相同。
Tiphereth,异想体……并非成为媒介之人的自我表现。
Tiphereth,如果说异想体是藉由某人的意志挖掘心灵的产物，那么扭曲就是依靠自己的意志进行具现的存在。
罗兰,所以说，人类心中全都沉睡着这样的怪物？
罗兰,看来今后不管什么阿猫阿狗都能通过扭曲，闹它个天翻地覆喽。
Tiphereth,强烈的契机是不可或缺的。
Tiphereth,就像那个来自黎明事务所，最终扭曲成哭泣之子的菲利普，正是那强烈的情感迸发最终导致了他的扭曲。
Tiphereth,我想这其中大概存在着某种条件。
Tiphereth,而这个条件是由我们一手催生的变数……
罗兰,变数？
Tiphereth,就是安吉拉夺走的那部分光。
Tiphereth,如果光之树能照耀世界整整7天，就不会产生这样的副作用了吧。
罗兰,……原来如此。
Tiphereth,我们的计划被拦腰截断，这就是病根所在。
Tiphereth,看来我们最后反而让事态变得更糟了。
罗兰,那有办法收拾这堆烂摊子吗？
Tiphereth,只能回收不完整的光，再重新将整整7天的光芒散发出去。
罗兰,安吉拉想必不会坐视不管。
Tiphereth,安吉拉是这么跟我们约定的，所以我们在光芒回收完全之前只能静观其变。
Tiphereth,安吉拉肯定也想找回那些光，用于她自己的目的。
罗兰,这么说来，你们确实同意给安吉拉重新收集光芒的时间。
罗兰,但是为什么？那个计划已经泡汤了啊？
Tiphereth,是啦，虽然我也很气愤……但，我想试着相信她……
Tiphereth,安吉拉也需要一次机会。
罗兰,你还真是个大圣人。
Tiphereth,说实话！我现在就想对她发泄一通，放开了撒气……
Tiphereth,但如果是伊诺克……伊诺克的话，他一定会这么做吧。
Tiphereth,他一定会说，再多信任她一些……
罗兰,了不起……这一点比我强多了。
罗兰,我是绝不会那么想的……
罗兰,我的眼光可没那么长远。
Tiphereth,如果你也能找到那个对你有重要意义的人，就一定能看得更远！
Tiphereth,让我们一同坚持到那个时候吧。
罗兰,有重要意义的人……
罗兰,总之谢谢你给我打气哟，小不点儿。
Tiphereth,都说了不许把人家当小孩子啊啊啊！
