Character Name,Dialogue
罗兰,今天怎么没有酒味？
Netzach,因为没喝酒，今天我想让脑袋清醒些。
罗兰,哎……这是搞哪出啊？
Netzach,蹭不到酒喝，你看上去怪遗憾的？
罗兰,哎呀，这么快就露馅了吗？
Netzach,今天是个值得纪念的日子。
Netzach,今天是我的忌日。
罗兰,真的？今天是几号啊？
罗兰,在这里待得一久，我都没什么时间概念了。
Netzach,是几号并不重要。
Netzach,我要纪念的正是此时此刻。
Netzach,我回想起了乔凡尼的第一次人生，由生入死的整个过程。
罗兰,原来是这个意思……
Netzach,罗兰，你觉得齿轮教团的人是一群傻子吗？
罗兰,那种为了寻找人生目标不惜加入邪教的家伙？
罗兰,说实话，我不觉得他们傻，只觉得可怜。
Netzach,我也这么觉得。
Netzach,我是在缺少父母的陪伴下长大的。
罗兰,巧了，我也一样，我是被奶奶拉扯大的。
Netzach,我出生于巢中，却被遗弃在保育院，连父母是谁都不知道。
Netzach,如果当时换作后巷，我可能早就没命了。
Netzach,虽然有幸出生在巢中，却也不幸这么早就失去了父母。
罗兰,能问一下是哪里的巢吗？
Netzach,K公司的。
罗兰,那里称得上是最安全的地方了。
Netzach,是啊，实际上我的生活相当平坦。我比别人不幸了稍许，却又比别人幸运了稍许。
Netzach,我从未挨过饿，也从未受人欺辱。
Netzach,在庇护下生活，不受外界的影响。
Netzach,日复一日，我要做的就是毫无意义地呼吸，我还以为那是理所当然的。
Netzach,每个人的表情都和我一模一样。
Netzach,无论是在学校，还是在街头巷尾，巢里的人永远是同一种表情。
罗兰,是那种心不在焉的表情吧？
Netzach,没错，我本以为自己会像那样百无聊赖地过上一辈子。
Netzach,我重复着单一的生活……直到遇见那位生平第一次见到的人。
罗兰,嗳呦！我猜大叔是遇到初恋了吧？
Netzach,……大概吧，更准确地说，她应该是乔凡尼的初恋。
Netzach,当时她正站在街道中央，热情洋溢地向来往的行人发表演讲，尽管无人问津。
Netzach,其实，演讲的内容我也一点儿没听进去。
Netzach,我满脑子想的是，原来一个人能那么光彩夺目地活着。
罗兰,一~见~钟~情~了~
Netzach,她下定决心要改变人类，还要改变这个世界。
Netzach,她和她的团队正在招募志同道合的朋友。
Netzach,听起来很可笑，是不？有哪个傻子会放弃巢里舒适安逸的生活，转而参与这样的研究呢？
罗兰,可你偏偏就成了那个傻子。
Netzach,是啊……乔凡尼那样的人，和她的相遇就像命中注定。
Netzach,她的名字是——卡门。
罗兰,卡门……
Netzach,每每看见卡门为她的事业感到欢喜，感到骄傲时，我也顿时觉得自己充满了活力。
Netzach,我想一直陪伴在她的身边。
Netzach,但对她来说，我只是她的好弟弟、她的好朋友、她的好同事。仅此而已。
罗兰,单恋呀……那种感觉一定很痛苦吧。
Netzach,我倒觉得无所谓，只要能像这样生活下去，我就知足了。
Netzach,然而……
罗兰,嗯，这个项目发生了悲剧。
Netzach,对，慢慢地……
Netzach,我们的研究变得毫无进展，卡门也逐渐失去了活力。
Netzach,后来，研究所里有一个叫伊诺克的男孩死在了试验中……
Netzach,在卡门脆弱的心中，有什么东西被生生折断了。
Netzach,我很想安慰她，但每每看见卡门那张无精打采的脸，我吓坏了……那种感觉，就像我从世上被抹去了一样。
Netzach,不久之后，卡门也结果了自己的生命。
罗兰,确实很惨，当时你受到的打击一定不小。
Netzach,我非但接受了这一切，还觉得自己很淡然。
Netzach,我在想，一个比谁都活得精彩的人，却也会死得如此突然，如此凄惨。
Netzach,我决定继续留在研究所，帮助卡门完成她未竟的事业。
Netzach,她的同事们也都在那里，他们还没有失去希望。
Netzach,后来有一天，某个人说也许有办法救回卡门。
罗兰,这可不能白白错过。
Netzach,是啊，接着……
罗兰,这个办法应该有风险吧。
Netzach,试验的风险非常大，一旦出了差错，受试者可能永远无法醒来。
Netzach,当然，除我以外没有人愿意参加，我自愿成为那只小白鼠。
Netzach,如果试验成功，卡门回来了，那是最理想的结果。但就算失败，我陷入永远的沉睡，那也罢了。
Netzach,没有卡门，我的生命变得黯淡无光。
Netzach,所以我能理解那些齿轮教徒，我能理解他们为何要以极端的方式探寻人生的目标。
Netzach,因为我也参与过一场随时有可能丧命的试验。结果……
罗兰,惨不忍睹。
Netzach,没错……所以我开启了第二次人生。当我再次睁开双眼，发现自己正以Netzach的身份在脑叶公司工作。
Netzach,在临死之际，我已经抛弃了对人生的一切依恋……
Netzach,在一片混乱中，我又听见了那无比思念的声音，她告诉我无论如何都要活下去。
Netzach,经过这么多波折，我终于走到了今天。带着“生存下去的勇气”。
罗兰,好样的~Netzach。
Netzach,现在，我不想再毫无意义地呼吸，而是要堂堂正正地活下去。
Netzach,如果能有这样的机会。
Netzach,说不定这次我就可以做到。
Netzach,这个世界比我想象的要大，它虽有丑陋的一面，却也有无比美丽的一面。
罗兰,我猜你之所以养成酗酒的习惯，也是为了帮自己熬过那段苦日子吧？
Netzach,差不多吧，不过我确实喜欢酒的滋味。
罗兰,我又何曾不是呢？
Netzach,那咱俩趁现在喝一轮？
罗兰,好耶！好好纪念一下这个伟大的日子吧~
