Character Name,Dialogue
罗兰,这是在干嘛？冥想吗？
Gebura,闭目养神而已。
罗兰,那我就把搬来的书放在老地方喽。
罗兰,不打扰您想事情了。
Gebura,慢着。
罗兰,昂？
Gebura,你来自几区？
罗兰,17号。是个太平的地方。
Gebura,你成长时的那条后巷也是人间地狱吗？
罗兰,再怎么差劲那也是住人的地方。而有人住的地方就是地狱。
Gebura,也是，说到底还是人类居住的地方。各条巷操心各条巷的事。
Gebura,我曾经一直在为守护他人而战。然而十全十美的坚守并不常见。
Gebura,……来根烟？
罗兰,心领了。我很久以前就戒了烟。
Gebura,真的？看不出来嘛。
Gebura,……我小时候所在的那条巷，周围的邻居一直在变动。
Gebura,每次睡上一觉睁眼醒来，我总能发现那些虽说不上本性善良，但待我不错的大人们要么失去踪迹离开了，要么被砍断了四肢倒在大街上。
罗兰,这种胡乱的日常就算在后巷也挺骇人听闻的……不愧是恶名远扬的23区。
Gebura,那会儿正是帮派间抢地盘搞肃清闹得最凶的时候。
Gebura,就像如今脑叶公司的巢一样。
罗兰,你能顽强地活下来。那可是拿钱办事的收尾人都不愿意去的后巷之一。
Gebura,我压根就没想过能去个不那么血腥的巷。那里就是我的一切。
Gebura,我只能抱着必死之心寻找活下去的办法。
罗兰,和23区比起来……谢肉祭和笑面啥的简直是小孩子过家家。
Gebura,所以我在不停地寻找。能够保住身边人的办法。
Gebura,通过人们使用的不同言语，你可以了解到许多有关他们生活的社会。
Gebura,后巷的用语总是朴实又直截了当的。
Gebura,他们总会使用贴近生活的词语。而不是重编个新的来用。
Gebura,那些已经成为他们日常生活一部分的事情也是同理。它们往往比这些词语的原意更有关联性。
罗兰,拇指食指之类的五指还有清道夫就是典型的案例？
Gebura,后巷的人拼命追逐着财富和力量。
Gebura,也就没有余力去追求超越生存能力的价值。
Gebura,你知道最好笑的是什么吗？
Gebura,即便他们掌握了力量，也只会向下方沉降……
Gebura,后巷的受害者都是没能成为加害者的潜在加害者……
Gebura,起初，卡莉只是个7岁的小家伙。
Gebura,而那个小孩最初的记忆就是看着眼前模糊不堪的血肉脏器，缩在小巷的角落里哭鼻子。
Gebura,没人同她做朋友。她周围的人也迟早会消失不见。
Gebura,因为岁数差不多大的孩子都会被清道夫带走，或是被当成玩具对待。
Gebura,小家伙只能屏住呼吸，就那样静静地看着。
Gebura,卡莉能活到13岁纯靠命大。
Gebura,为了不白白浪费这份运气，卡莉观察、继续观察。为了能够自力更生活下去。
Gebura,卡莉活到了20岁。靠着她自己的战略。
Gebura,她最终成为了收尾人。因为能做到的事情是有限的。
罗兰,幸好没有掉进帮派的手里？
Gebura,小家伙曾发誓自己不会变成他们那样的人。
Gebura,卡莉刚开始的收尾人工作逐渐稳定下来。或许是成长环境的缘故，还挺合得来。
罗兰,我也差不多吧。
Gebura,成为收尾人后她有了些力量，就觉得能够保护那些邻居了。
Gebura,那条巷本来就很危险。卡莉曾生活的地方。
Gebura,于是她就想去报答长久以来蒙受关照的邻居希恩叔叔，还有住在楼上的古丝大姐的恩情。
Gebura,那两位邻居自卡莉小时候起就分给她食物和水。
Gebura,是她为数不多相识长久的人，就像家人一样。
Gebura,为了答谢那样的希恩叔叔和古丝大姐，她分了他们些钱。
罗兰,她可真是个好孩子。
Gebura,然而你知道他们在一个月后是如何报答卡莉的吗？
罗兰,这走向听起来不大对劲啊。
Gebura,他们串通公寓里的其他居民，趁卡莉熟睡时一同潜入她家，将她五花大绑后搜找保险柜。
罗兰,啊，我知道了。他们肯定觉得卡莉手里还有更多的钱。
Gebura,没错。他们真就干出了那种事。
Gebura,卡莉无法置信。并非因为自己在无意识的时候被人绑了起来。
Gebura,而是因为肮脏可憎的欲望正在她的眼前成块地蠕动爬行。
Gebura,到昨天为止还是互相问候的关系。
Gebura,那些邻居应比任何人都清楚失去的痛苦。
Gebura,卡莉不过是希望分给他们的钱能被用在有意义的地方……
Gebura,她只是在拥有力量后想要守护他们而已……
罗兰,真是典型中的典型啊。
罗兰,卡莉醒后肯定不会像傻瓜一样任人摆布了吧？
Gebura,那是。卡莉这孩子可比他们想象中的要强。
Gebura,她随时都能强行挣脱束缚，但她选择等待。
Gebura,她想看清楚，这究竟是不是误会或玩笑。
Gebura,然而他们神态自若地说出了无比肮脏的话……
Gebura,他们谈及这一大笔钱将是他们搬去其他地方的机会……
Gebura,那不是梦境，也不是错觉，就是赤裸裸的现实。
罗兰,所以那帮兔崽子都遭报应了没？我光听着都觉得火大。
Gebura,没错。无一幸存。然后卡莉流下了眼泪，笼罩在邻居们的血腥之中。
Gebura,即使是卡莉曾一直守护的那些邻居，在得到力量后也会转身翻脸对他人施加暴行。
Gebura,无论守护谁也无法斩断这个循环。
罗兰,是啊。所以我总觉得同情心没有任何必要。
罗兰,在我刚入收尾人这一行时，我也总去想些什么对的错的有的没的。
Gebura,你以前是什么类型的收尾人？
罗兰,……一个理性地明辨是非、理性地处理事务、干净利落的收尾人。
罗兰,所以名声还挺不赖。
Gebura,如此声名远扬的收尾人居然会降成9阶？
罗兰,对啊，世事难料嘛。就像那长大后的卡莉出现在我的面前，这样。
Gebura,呼……也是。
罗兰,曾经有段时间我不计后果地大闹了一番。目空一切的那种。
罗兰,也因此树了不少仇敌。
罗兰,那种感觉依旧在我脑中回响，久久无法消散。
Gebura,果然你身上也发生了不少事。就是那种表情。
Gebura,卡莉并不完全是我，但也在我之中。
罗兰,看起来是那样。你真的和许多收尾人不一样。很耿直。
Gebura,说得太多了。再眯会儿。
罗兰,好好休息吧，卡莉。
