Character Name,Dialogue
,吾身空余苦痛。
,除此别无所求。
,苦痛于我甚忠，始终不渝。
罗兰,……出尽洋相了呢。
Tiphereth,感觉好些了吗？
罗兰,不太清楚。虽然畅快了不少……但我好像不是我自己了。
Tiphereth,能一吐不快就好啦。
罗兰,刚刚……说了你是复制品而不是人类……那种话，真是对不起。
Tiphereth,不用在意。我已经带着某人的记忆经历了无数次反复。
Tiphereth,如今我已经无法辨明现在的我还是不是生前的我了。
Tiphereth,你说的倒也没错。
罗兰,但是……那样的话，你已经完全不是你了啊？
Tiphereth,干嘛说得那么严肃啦。
Tiphereth,人家根本不在意自己的原型是什么。
Tiphereth,就算无法摆脱司书的身份也没关系。
Tiphereth,如今我能真实地存在着、思考着，那就没问题啦。
Tiphereth,只要存在，我们就一定拥有各自的价值和意义。
罗兰,……我这种毫无期待的人也会有价值吗。
Tiphereth,当然有啦。
Tiphereth,我虽然说着好听……其实也没什么自信啦。
Tiphereth,就算如此还是想去相信。想去相信什么不是自由的吗？
罗兰,是啊。相信是自由的。
