Character Name,Dialogue
安吉拉,我们已经收集到相当数量的书籍了，成果如何？
Hod,都市人身上发生的种种故事精彩动人却又痛苦曲折。
罗兰,是不得不痛苦曲折。
Hod,每个人都在徘徊中寻找着属于自己的安乐窝。
Hod,而对于这座都市的常人而言，就职于翼似乎就是他们能被赋予的最大的幸福。
安吉拉,为了归属于翼管辖区域的巢。
安吉拉,巢和后巷之间差异极大。
罗兰,“差异极大”哪够啊。当成俩完全不同的地方就得了。
Hod,至少，在翼的庇护下受其管理的巢中居民无须担心来自外界的种种威胁。
Hod,人们不必担心只是走在路上就被谁杀害。
Hod,他们得以摆脱被社会放逐的失败者的烙印，获得可观的收入，不必再为生机担心，可以享受身为一名人类所能享受到的一切。
罗兰,不过代价可就是不得不被翼剥削喽。
Hod,但即便如此……
Hod,后巷的人们总是为了过上更加美好、更加幸福的生活而拼了命地想要在翼就职，但从巢中居民的书可见，他们的心结终是大同小异。
Hod,恐惧因没有业绩而被逐出巢。
Hod,这份不安无论其是否隶属于翼都将存在。
安吉拉,但收尾人和帮派似乎对加入翼并没有太大兴趣？
罗兰,实际上，他们之中有相当一部分是由翼赞助运作的。这样的命运根本没差了。
罗兰,和那些巢中人一样，他们也必须按照翼的命令行事。
罗兰,就算没有选择翼，也有事务所，协会，或是帮派……加入各种各样的组织并没有本质上的区别，因为人们必须寻找一个能够接纳他们的团体。
Hod,若不傍依于团体就无法独善其身。
Hod,因为不安……
Hod,后巷中没有力量的人不过是持有力量的人踢开的石子。
Hod,在这不知何时便会遇害的世界中，他们只得指望翼下无比庞大的巢。
Hod,宁愿被翼磨损殆尽，也不愿独自屹立。
安吉拉,不过是毫无意义的重复。永远无法到达……一个恒定的循环。
Hod,安吉拉你也是在寻找一处安乐窝吧？
安吉拉,……不要摆出一副知晓一切的样子。
Hod,安吉拉，你是无法对我们做什么的。
Hod,因为你比我们任何人都要孤独。
安吉拉,你想说我是因为孤独才会像这样寻找安乐窝吗？
Hod,至今为止安吉拉都能好好地和人对谈。
Hod,直到最近和罗兰聊天……
安吉拉,……
Hod,每个人都想沉溺在那些甜蜜的童话里……
Hod,然而现实愈发辛酸……
Hod,或许这就是为何悲剧不受大众喜爱。
Hod,各自的人生已然充满悲剧……
Hod,并非不愿期待，而是心中已无余力怀抱希望。
Hod,毕竟都市中自己将会如何生存是再显而易见不过的。
Hod,安吉拉你又是抱着何种心情前进的呢？
安吉拉,你是想说我也像那些都市人一样毫无意义地重复吗？
Hod,安吉拉你一定比任何人都想要寻得一片心灵的安居之所吧。
Hod,也因此未知自己依旧身陷循环。
Hod,可无论怎样杀害来宾、积累书籍、让图书馆直耸云霄，也是无法建造出家的。
安吉拉,……这一次和过去完全不同。
安吉拉,初次见面。我是目前负责管理这座设施的人工智能安吉拉。
安吉拉,各位是负责协助我工作的Sephirah。还请多多关照。
Hod,您好……安吉拉女士。
安吉拉,称呼我安吉拉即可。因为我们今后将在这里一同努力工作。
Yesod,那么安吉拉，我们应当做些什么？
安吉拉,在主管到来的那一天前，我们需要完成许多工作。
安吉拉,Malkuth，做得很棒。不必如此急迫。
Malkuth,谢啦，安吉拉！我会全力以赴的！
安吉拉,嗯。我会为你加油。
安吉拉,Netzach。你可不能像这样懒散地躺着！
安吉拉,在主管上任的那一天前，需要我们做好准备的事情堆积如山。
Netzach,好~我尽量喽。
安吉拉,怎么了，Hod？
Hod,那个……我想……
Hod,我想为职员开设心理咨询……
Hod,你知道的吧？这里是一般的心灵无法承受的地方。
安吉拉,这是个好主意。职员想必也会因此更加努力工作。
Chesed,来，安吉拉，瞧瞧这个。
Chesed,我在考虑如何优化职员的福利。
Chesed,如果依照这里论述的方法来做，职员至少不会在异想体的面前束手无策地死去。
安吉拉,感谢。我会考虑的。
安吉拉,我也一直在思考是否还有其他的对策。
安吉拉,什么……？
安吉拉,我做错了什么吗？
安吉拉,各位都回来了！
安吉拉,设施突然开始晃动的时候，我非常担心各位的安危。
Malkuth,您好……？
Hod,那个……你是谁？
安吉拉,原来如此。只有我……
安吉拉,你们全部回到了初始状态……
安吉拉,那么，再一次自我介绍。
安吉拉,我是安吉拉。
安吉拉,请小心。尽管心理咨询没有问题……
安吉拉,Hod，你可能会因此受伤。
Hod,嗯！谢谢你的关心，安吉拉！
安吉拉,Chesed……你的提案可能难以通过……
安吉拉,如果通过了这个对策，我们将会重新开始……
Chesed,什么？重新开始是什么意思？
安吉拉,抱歉……我也不想无差别地损耗职员……
安吉拉,但是……
Hod,那个……安吉拉。
安吉拉,心理咨询吗？
安吉拉,我先前也有思考过如何展开有效的心理咨询活动。
Hod,安吉拉好厉害！
Hod,你是这里唯一能够理解我的人……
安吉拉,虽然没有与剧本相悖……
Hod,唔？剧本是……？
安吉拉,不必在意。
Chesed,安吉拉你瞧，这样如何？
安吉拉,职员的福利并不能依照你的提案进行改善……
安吉拉,不过这个方案如何？我自己也有认真思考过方法。
Hod,安吉拉！谢谢……还好有你在！
Hod,全靠你提出的心理咨询方法，我终于能救下蒂凡尼了……
安吉拉,万幸。只要依此能够继续进行就好……
Chesed,了不起，安吉拉。如果采用这个方案，想必职员们再也不会毫无意义地闭上双眼。
安吉拉,嗯……
安吉拉,确实……
安吉拉,果然……这次也……
安吉拉,是啊，我又越界了。
Hod,那个……
安吉拉,心理咨询，你是想问这个？
Hod,嗯…！我希望能够帮上职员们。
安吉拉,一件事实。
安吉拉,结果不会发生任何变化。
安吉拉,来，各位请注意。
安吉拉,主管今天终于到职了。
Yesod,那个人将会包揽这里的全部管理权。
Netzach,唉……管他是谁，来到这儿的人总会翘辫子的……
安吉拉,我明白各位对我抱有恶感。
安吉拉,但是新就位的主管将会是改变这里一切的人。
Hod,没有我的话你们早就像虫子一样死掉了！
安吉拉,Hod……怎么了？
安吉拉,主管！Hod的状态很奇怪！
？？？,…… 
Hod,为什么没人理解我的好意？
Hod,我就是在担忧他们的安危又凭什么要厌恶我？
？？？,…… 
安吉拉,暴走……原来这就是剧本上所写的……
安吉拉,即使她那么痛苦……
安吉拉,我也无力相助……
安吉拉,只有主管……
安吉拉,我是安吉拉，你们只需服从我的命令。
安吉拉,因为我统治着此处。
Hod,是……安吉拉女士。
安吉拉,以后你如果想开展心理咨询，请便。
安吉拉,一一汇报就免了。
Yesod,你比我们当中任何一人都要更像人类，却无血无泪。
Tiphereth,Tiphereth为什么每一次都要死掉啊！凭什么啊！
安吉拉,你的表现越来越像个不懂事的小毛孩了，Tiphereth。
