Character Name,Dialogue
Gebura,殷红迷雾之书啊……
Gebura,亲眼见到被称作殷红迷雾时期的我，想起不少东西。
罗兰,……亲自对上自己的机会可不多见。
Gebura,我定然是为了守护众多的同伴而挥剑。
Gebura,期望落空也好，没能救下所有人也罢。
罗兰,没错。殷红迷雾就是那样。
罗兰,而且能为了守护他人而战的家伙少之又少。
Gebura,殷红迷雾时期的卡莉和L公司的Sephirah Gebura，还有如今作为司书的我……
Gebura,虽然并不相同，但彼此的心是相承的。
罗兰,会觉得现在很惨吗？
Gebura,倒也不惨。更可笑吧。
Gebura,无法守护所有人，落得这副模样。
Gebura,但确实已经尽我所能做到最好了。
罗兰,你不怨恨把你复活，变成这副模样的安吉拉吗？
罗兰,况且安吉拉不是还夺走了你拼命想要守护的东西吗。
Gebura,……安吉拉应该也在彷徨吧。
Gebura,想想安吉拉到现在经历过的那些事，倒也不能一股脑地责怪她了。说白了我就是这么想的。
Gebura,所以还是先亲眼看看那家伙道路的尽头再作判断吧。
Gebura,就算现在发火，估计结果也没差。
Gebura,是怒火和复仇的传承。
罗兰,明明没能好好地守护，为什么能这么干脆地甩开呢？
罗兰,你充斥着守护、被夺取、被利用的人生啊……
Gebura,要说不生气、不后悔那是骗人的。
Gebura,虽然没能守护住所有人，但能守护的人还是守住了。
罗兰,……
罗兰,我和你不同，连身边的一个人都没能守住。
罗兰,我一无所有。
罗兰,已经一无所剩了……
罗兰,要说还能剩下什么的话……只有投机取巧的无能卑鄙小人……
罗兰,在不知不觉中作茧自缚……
罗兰,只能用徒有其表的外壳包装起空虚的人生。
罗兰,敢动一根手指就让你七窍流血。招不招！
科学家 ？？？,我什么都不知道！我承认……
科学家 ？？？,把绑来的人做成齿轮有错。
科学家 ？？？,但你也懂的吧……多余的人会怎么样都没有关系。
罗兰,所以呢……你什么都不知道么？
科学家 ？？？,就是这样！求求你了……
科学家 ？？？,我还有女儿要养啊……
罗兰,……
罗兰,后边这些齿轮，也是有家人的吧。
技术员 ？？？,马上就要完成了……
技术员 ？？？,就要救活我的儿子了。
技术员 ？？？,这里的傀儡们都是夭折的孩子啊……
罗兰,结果，你也不知道么。
技术员 ？？？,是啊！那件事和我半点关系都没有。
技术员 ？？？,请您放过我吧……？
技术员 ？？？,求求您了！我的儿子还在那里呼唤我……
罗兰,……那玩意可不是什么儿子。
卢马诺斯集团成员,他妈的……根本是个疯子、白眼狼……
卢马诺斯集团首领,光是中指还没满足吗……
罗兰,还以为这帮大人物能抖点什么料呢……可真是令人唏嘘感慨的兄弟情谊呀。
罗兰,你们也是。真的一点都不知情吗？扯个谎也行，开开尊口呗。
卢马诺斯集团成员,……
卢马诺斯集团首领,没有必要迎合瞎子的泄愤。全员肃静……
卢马诺斯集团首领,动手吧。悉听尊便。
罗兰,……如您所愿。
？？？？？,罗兰。这么癫狂可不像你。心情可以理解……
罗兰,不想死就别过来，阿斯托尔福。
罗兰,敢来掺一脚就连你一起砍了。
阿斯托尔福,这帮家伙怎么看都和那件事没有关系啊。你只是在发狂，罗兰！
罗兰,要是能进到巢里……
罗兰,全都是我的错……
阿斯托尔福,太多杀戮了……就算是群人渣，这样屠杀……
阿斯托尔福,根本不可理喻！至少要正式通过协会或事务所工作啊！
罗兰,还不够。嫌犯还不止一个两个。
罗兰,不。你也一样……
罗兰,不就是强装镇定吗。
罗兰,将我生吞活夺的都市当被诅咒……未能坚守至底的我令人唾弃。
罗兰,在这世上，是无法谦卑地作为自己而存在的……
Gebura,罗兰。炽烈的怒火更要冷静地舍弃。
Gebura,马上就能做到了。
