Character Name,Dialogue
在宪,何等壮丽的风景……甚是适合沉浸于感伤之中。
Chesed,快请~本想用咖啡招待你的，但当下的情况似乎并不允许我这么做……真遗憾呢~
在宪,现在也的确没有能够那样做的余暇……你人还蛮温和的嘛。性情一向如此悠闲吗？
Chesed,既然交恶已无法避免，也就不必再维持戒备了吧？虽说我也的确常被人说是个悠闲的家伙呢~
在宪,有趣。你这是在自卖自夸吗？
安吉丽卡傀儡,……
Chesed,……
在宪,需要我再为你另行介绍一下它吗？
Chesed,不必了~大致看看就已经能够弄清楚了。
Chesed,……这个傀儡，是参照着那个人制作的吧~？
在宪,我的做工相当好吧？它可谓是一等一的杰作呢。
Chesed,你是指这个傀儡的外表吗？
在宪,如若只以这一点为基准的话，它可就不能被冠以这样的评价了。而我也并无非要在外表上追求美感的必要。
在宪,即便这傀儡的样貌如雕塑般美丽，我也不会对其外表本身有一丝喜爱。
在宪,既不会令我觉得恶心反胃……也不会令我觉得美丽婀娜。它们对我来说就是这样的存在，我对它们的外表并不会产生什么特别的感觉。
Chesed,若是这样，你又是为何而制作这些傀儡们的呢？
在宪,在制作它们时，我的心中总会泛起各种各样的想法与情感……
在宪,对将我致使我沦落至这般地步的都市的怨恨与对富人们的愤怒。
在宪,为了救活被他们夺走的、我宝贵的儿子的生命时而燃起的一丝希望。
在宪,以及……对将那仅存的一丝希望掐灭后为我带来绝望的罗兰的怨恨……与复仇心。
在宪,而我制作傀儡的过程，便是将我心中这些不忍对外表现出来的种种情感以人的血肉包裹起来，令其获得形体。
在宪,将那些无用的内脏与血肉掏出……填入由我的情感凝聚而成的结晶。
在宪,只有像这样……将情感倾泻在这些傀儡们的身上……我才能稍稍喘息片刻……也只有在那一刻，我才能感受到自己仍旧活着。
在宪,正因如此，我又怎能不爱惜这些傀儡们呢？
Chesed,原来如此，是为了将自己的情感收纳起来才……
Chesed,虽然我仍不能理解你，但也不会非要对你评头论足呢~
Chesed,不过我也不能欣然地看着你以那种方式报复罗兰。
在宪,他曾亲手夺走了我最重要的人……我只是以同样的方式将那份痛苦偿还予他而已。
Chesed,那座研究所是被他放火烧毁的？
在宪,是啊。托那个混蛋的福，我的儿子也在那场大火中化成了灰烬……连一块碎屑都没能留下……在他做出了这样的事后，你仍要对他表示同情吗？
Chesed,不哦~我们之间的关系其实也并没有亲密到会互相关心的程度呢。
Chesed,我只是有些好奇~你来到这里的目的就只是为了对他进行复仇吗？
在宪,若是将我们达成最终目的前的行为比作旅途，那么每个团员在这场旅途中都有着各不相同的小目标，但我们最终想要抵达的终点都是相同的。
在宪,对罗兰的复仇亦是如此，这只是我在前往终点的道路上偶然遇到的一个小目标而已，算不上是什么驱使我继续前进下去的重要理由。
在宪,但也多亏了他，我才能够在这旅程中摆脱痛苦，以一种舒畅的心态继续前行下去。
Chesed,唉，到头来每个人都有着自己的苦衷，何其悲哀啊。对吧？
Chesed,不论我做什么，我都不能坦荡自若地对待它。
在宪,因此我们需要将思绪集中在自己想做的事上才行，不是吗？
Chesed,世界若是变得能让每个人都获得可以依自身的想法随心所欲地活下去的自由该多好啊~
Chesed,但这种自由真的能够令人们逃避掉从自身所做的事中衍生而出的责任吗？
在宪,那些在心中时刻想着它人、一心为它人而活的家伙是无法在人生大道上继续迈步向前的。
在宪,每个人想要实现的梦想都是多样且无限的。
在宪,单单一个人便已如此复杂，想要在体谅着所有人的情况下继续追求自身的自由简直就是天方夜谭。
在宪,倘若每个人都不得不去考虑各自的梦想的可能性有多宽广的话……
在宪,……不，那是你的想法，你是该想的事。至少我所期望的世界并不是那样的。
在宪,而我也不是为了与你悠闲地探讨或分享自己的想法才来到此地的，闲谈就到此为止，让我们不紧不慢地开始吧。
Chesed,是啊~的确如此呢。
Chesed,来吧，各位司书同袍们。让我们像往常一样……开始接待吧。
